Terminal countdown started.|1969-07-14T21:00:00|2019-07-14T21:00:00
Scheduled 11-hour hold at T-9 hours.|1969-07-15T16:00:00|2019-07-15T16:00:00
Countdown resumed at T-9 hours.|1969-07-16T03:00:00|2019-07-16T03:00:00
Scheduled 1-hour 32-minute hold at T-3 hours 30 minutes.|1969-07-16T08:30:00|2019-07-16T08:30:00
Countdown resumed at T-3 hours 30 minutes.|1969-07-16T10:02:00|2019-07-16T10:02:00
Guidance reference release.|1969-07-16T13:31:43|2019-07-16T13:31:43
S-IC engine start command.|1969-07-16T13:31:51|2019-07-16T13:31:51
S-IC engine ignition (#5).|1969-07-16T13:31:53|2019-07-16T13:31:53
All S-IC engines thrust OK.|1969-07-16T13:31:58|2019-07-16T13:31:58
Range zero.|1969-07-16T13:32:00|2019-07-16T13:32:00
All holddown arms released (1st motion).|1969-07-16T13:32:00|2019-07-16T13:32:00
Liftoff (umbilical disconnected) (1.07 g).|1969-07-16T13:32:00|2019-07-16T13:32:00
Tower clearance yaw maneuver started.|1969-07-16T13:32:01|2019-07-16T13:32:01
Yaw maneuver ended.|1969-07-16T13:32:09|2019-07-16T13:32:09
Pitch and roll maneuver started.|1969-07-16T13:32:13|2019-07-16T13:32:13
Roll maneuver ended.|1969-07-16T13:32:31|2019-07-16T13:32:31
Mach 1 achieved.|1969-07-16T13:33:06|2019-07-16T13:33:06
Maximum dynamic pressure (735.17 lb/ft2).|1969-07-16T13:33:23|2019-07-16T13:33:23
Maximum bending moment (33,200,000 lbf-in).|1969-07-16T13:33:31|2019-07-16T13:33:31
S-IC center engine cutoff command.|1969-07-16T13:34:15|2019-07-16T13:34:15
Pitch maneuver ended.|1969-07-16T13:34:40|2019-07-16T13:34:40
S-IC outboard engine cutoff.|1969-07-16T13:34:41|2019-07-16T13:34:41
S-IC maximum total inertial acceleration (3.94 g).|1969-07-16T13:34:41|2019-07-16T13:34:41
S-IC maximum Earth-fixed velocity. S-IC/S-II separation command.|1969-07-16T13:34:42|2019-07-16T13:34:42
S-II engine start command.|1969-07-16T13:34:43|2019-07-16T13:34:43
S-II ignition.|1969-07-16T13:34:44|2019-07-16T13:34:44
S-II aft interstage jettisoned.|1969-07-16T13:35:12|2019-07-16T13:35:12
Launch escape tower jettisoned.|1969-07-16T13:35:17|2019-07-16T13:35:17
Iterative guidance mode initiated.|1969-07-16T13:35:24|2019-07-16T13:35:24
S-IC apex.|1969-07-16T13:36:29|2019-07-16T13:36:29
S-II center engine cutoff.|1969-07-16T13:39:40|2019-07-16T13:39:40
S-II maximum total inertial acceleration (1.82 g).|1969-07-16T13:39:40|2019-07-16T13:39:40
S-IC impact (theoretical).|1969-07-16T13:41:03|2019-07-16T13:41:03
S-II outboard engine cutoff.|1969-07-16T13:41:08|2019-07-16T13:41:08
S-II maximum Earth-fixed velocity. S-II/S-IVB separation command.|1969-07-16T13:41:09|2019-07-16T13:41:09
S-IVB 1st burn start command.|1969-07-16T13:41:09|2019-07-16T13:41:09
S-IVB 1st burn ignition.|1969-07-16T13:41:12|2019-07-16T13:41:12
S-IVB ullage case jettisoned.|1969-07-16T13:41:21|2019-07-16T13:41:21
S-II apex.|1969-07-16T13:41:47|2019-07-16T13:41:47
S-IVB 1st burn cutoff.|1969-07-16T13:43:39|2019-07-16T13:43:39
S-IVB 1st burn maximum total inertial acceleration (0.69 g).|1969-07-16T13:43:39|2019-07-16T13:43:39
Earth orbit insertion. S-IVB 1st burn maximum Earth-fixed velocity.|1969-07-16T13:43:49|2019-07-16T13:43:49
Maneuver to local horizontal attitude started.|1969-07-16T13:43:59|2019-07-16T13:43:59
Orbital navigation started.|1969-07-16T13:45:21|2019-07-16T13:45:21
S-II impact (theoretical).|1969-07-16T13:52:13|2019-07-16T13:52:13
S-IVB 2nd burn restart preparation.|1969-07-16T16:06:38|2019-07-16T16:06:38
S-IVB 2nd burn restart command.|1969-07-16T16:16:08|2019-07-16T16:16:08
S-IVB 2nd burn ignition (STDV open).|1969-07-16T16:16:16|2019-07-16T16:16:16
S-IVB 2nd burn cutoff.|1969-07-16T16:22:03|2019-07-16T16:22:03
S-IVB 2nd burn maximum total inertial acceleration (1.45 g).|1969-07-16T16:22:03|2019-07-16T16:22:03
S-IVB 2nd burn maximum Earth-fixed velocity.|1969-07-16T16:22:03|2019-07-16T16:22:03
S-IVB safing procedures started.|1969-07-16T16:22:03|2019-07-16T16:22:03
Translunar injection.|1969-07-16T16:22:13|2019-07-16T16:22:13
Maneuver to local horizontal attitude started.|1969-07-16T16:22:23|2019-07-16T16:22:23
Orbital navigation started.|1969-07-16T16:22:23|2019-07-16T16:22:23
Maneuver to transposition and docking attitude started.|1969-07-16T16:37:03|2019-07-16T16:37:03
CSM separated from S-IVB.|1969-07-16T16:47:23|2019-07-16T16:47:23
CSM separation maneuver ignition.|1969-07-16T16:49:04|2019-07-16T16:49:04
CSM separation maneuver cutoff.|1969-07-16T16:49:11|2019-07-16T16:49:11
CSM docked with LM/S-IVB.|1969-07-16T16:56:03|2019-07-16T16:56:03
CSM/LM ejected from S-IVB.|1969-07-16T17:49:03|2019-07-16T17:49:03
CSM/LM evasive maneuver from S-IVB ignition.|1969-07-16T18:12:01|2019-07-16T18:12:01
CSM/LM evasive maneuver from S-IVB cutoff.|1969-07-16T18:12:04|2019-07-16T18:12:04
S-IVB maneuver to lunar slingshot attitude initiated.|1969-07-16T18:13:07|2019-07-16T18:13:07
S-IVB lunar slingshot maneuver - LH2 tank CVS opened.|1969-07-16T18:23:07|2019-07-16T18:23:07
S-IVB lunar slingshot maneuver - LOX dump started.|1969-07-16T18:35:07|2019-07-16T18:35:07
S-IVB lunar slingshot maneuver - LOX dump ended.|1969-07-16T18:36:55|2019-07-16T18:36:55
S-IVB lunar slingshot maneuver - APS ignition.|1969-07-16T19:09:47|2019-07-16T19:09:47
S-IVB lunar slingshot maneuver - APS cutoff.|1969-07-16T19:14:27|2019-07-16T19:14:27
S-IVB maneuver to communications attitude initiated.|1969-07-16T19:14:48|2019-07-16T19:14:48
TV transmission started (recorded at Goldstone and transmitted to Houston at 011:26).|1969-07-17T00:04:00|2019-07-17T00:04:00
TV transmission ended.|1969-07-17T00:20:00|2019-07-17T00:20:00
Midcourse correction ignition.|1969-07-17T16:16:58|2019-07-17T16:16:58
Midcourse correction cutoff.|1969-07-17T16:17:01|2019-07-17T16:17:01
TV transmission started.|1969-07-17T20:00:00|2019-07-17T20:00:00
TV transmission ended.|1969-07-17T20:50:00|2019-07-17T20:50:00
TV transmission started.|1969-07-17T23:31:00|2019-07-17T23:31:00
TV transmission ended.|1969-07-18T00:07:00|2019-07-18T00:07:00
TV transmission started.|1969-07-18T20:40:00|2019-07-18T20:40:00
CDR and LMP entered LM for initial inspection.|1969-07-18T21:02:00|2019-07-18T21:02:00
TV transmission ended.|1969-07-18T22:16:00|2019-07-18T22:16:00
CDR and LMP entered CM.|1969-07-18T23:27:00|2019-07-18T23:27:00
Equigravisphere.|1969-07-19T03:11:55|2019-07-19T03:11:55
Lunar orbit insertion ignition.|1969-07-19T17:21:50|2019-07-19T17:21:50
Lunar orbit insertion cutoff.|1969-07-19T17:27:47|2019-07-19T17:27:47
Sighting of an illumination in the Aristarchus region. 1st time, a lunar transient event sighted by an observer in space.|1969-07-19T18:45:00|2019-07-19T18:45:00
TV transmission started.|1969-07-19T19:52:00|2019-07-19T19:52:00
S-IVB closest approach to lunar surface.|1969-07-19T20:14:00|2019-07-19T20:14:00
TV transmission ended.|1969-07-19T20:32:00|2019-07-19T20:32:00
Lunar orbit circularization ignition.|1969-07-19T21:43:36|2019-07-19T21:43:36
Lunar orbit circularization cutoff.|1969-07-19T21:43:53|2019-07-19T21:43:53
LMP entered CM for initial power-up and system checks.|1969-07-19T22:42:00|2019-07-19T22:42:00
LMP entered CM.|1969-07-20T01:07:00|2019-07-20T01:07:00
